                           1             1             1   00000000000100
             1             1             2             2   00000000000100
             1             2             3             3   00000000000100
             2             3             5             4   00000000000100
             3             5             8             5   00000000000100
             5             8            13             6   00000000000100
             8            13            21             7   00000000000100
            13            21            34             8   00000000000100
            21            34            55             9   00000000000100
            34            55            89            10   00000000000100
            55            89           144            11   00000000000100
            89           144           233            12   00000000000100
           144           233           377            13   00000000000100
           233           377           610            14   00000000000100
           377           610           987            15   00000000000100
           610           987          1597            16   00000000000100
           987          1597          2584            17   00000000000100
          1597          2584          4181            18   00000000000100
          2584          4181          6765            19   00000000000100
          4181          6765         10946            20   00000000000100
          6765         10946         17711            21   00000000000100
         10946         17711         28657            22   00000000000100
         17711         28657         46368            23   00000000000100
         28657         46368         75025            24   00000000000100
         46368         75025        121393            25   00000000000100
         75025        121393        196418            26   00000000000100
        121393        196418        317811            27   00000000000100
        196418        317811        514229            28   00000000000100
        317811        514229        832040            29   00000000000100
        514229        832040       1346269            30   00000000000100
        832040       1346269       2178309            31   00000000000100
       1346269       2178309       3524578            32   00000000000100
       2178309       3524578       5702887            33   00000000000100
       3524578       5702887       9227465            34   00000000000100
       5702887       9227465      14930352            35   00000000000100
       9227465      14930352      24157817            36   00000000000100
      14930352      24157817      39088169            37   00000000000100
      24157817      39088169      63245986            38   00000000000100
      39088169      63245986     102334155            39   00000000000100
      63245986     102334155     165580141            40   00000000000100
     102334155     165580141     267914296            41   00000000000100
     165580141     267914296     433494437            42   00000000000100
     267914296     433494437     701408733            43   00000000000100
     433494437     701408733    1134903170            44   00000000000100
     701408733    1134903170    1836311903            45   00000000000100
    1134903170    1836311903    2971215073            46   00000000000100
    1836311903    2971215073    4807526976            47   00000000000100
    2971215073    4807526976    7778742049            48   00000000000100
    4807526976    7778742049   12586269025            49   00000000000100
    7778742049   12586269025   20365011074            50   00000000000100
   12586269025   20365011074   32951280099            51   00000000000100
   20365011074   32951280099   53316291173            52   00000000000100
   32951280099   53316291173   86267571272            53   00000000000100
   53316291173   86267571272  139583862445            54   00000000000100
   86267571272  139583862445  225851433717            55   00000000000100
  139583862445  225851433717  365435296162            56   00000000000100
  225851433717  365435296162  591286729879            57   00000000000100
  365435296162  591286729879  956722026041            58   00000000000100
  591286729879  956722026041 1548008755920            59   00000000000100
  956722026041 1548008755920 2504730781961            60   00000000000100
 1548008755920 2504730781961 4052739537881            61   00000000000100
 2504730781961 4052739537881 6557470319842            62   00000000000100
 4052739537881 6557470319842  610209857723            63   00000000000100
 6557470319842  610209857723 7167680177565            64   00000000000100
  610209857723 7167680177565 7777890035288            65   00000000000100
 7167680177565 7777890035288 4945570212853            66   00000000000100
 7777890035288 4945570212853 2723460248141            67   00000000000100
 4945570212853 2723460248141 7669030460994            68   00000000000100
 2723460248141 7669030460994  392490709135            69   00000000000100
 7669030460994  392490709135 8061521170129            70   00000000000100
  392490709135 8061521170129 8454011879264            71   00000000000100
 8061521170129 8454011879264 6515533049393            72   00000000000100
 8454011879264 6515533049393 4969544928657            73   00000000000100
 6515533049393 4969544928657 1485077978050            74   00000000000100
 4969544928657 1485077978050 6454622906707            75   00000000000100
 1485077978050 6454622906707 7939700884757            76   00000000000100
 6454622906707 7939700884757 4394323791464            77   00000000000100
 7939700884757 4394323791464 2334024676221            78   00000000000100
 4394323791464 2334024676221 6728348467685            79   00000000000100
 2334024676221 6728348467685 9062373143906            80   00000000000100
 6728348467685 9062373143906 5790721611591            81   00000000000100
 9062373143906 5790721611591 4853094755497            82   00000000000100
 5790721611591 4853094755497  643816367088            83   00000000000100
 4853094755497  643816367088 5496911122585            84   00000000000100
  643816367088 5496911122585 6140727489673            85   00000000000100
 5496911122585 6140727489673 1637638612258            86   00000000000100
 6140727489673 1637638612258 7778366101931            87   00000000000100
 1637638612258 7778366101931 9416004714189            88   00000000000100
 7778366101931 9416004714189 7194370816120            89   00000000000100
 9416004714189 7194370816120 6610375530309            90   00000000000100
 7194370816120 6610375530309 3804746346429            91   00000000000100
 6610375530309 3804746346429  415121876738            92   00000000000100
 3804746346429  415121876738 4219868223167            93   00000000000100
  415121876738 4219868223167 4634990099905            94   00000000000100
 4219868223167 4634990099905 8854858323072            95   00000000000100
 4634990099905 8854858323072 3489848422977            96   00000000000100
 8854858323072 3489848422977 2344706746049            97   00000000000100
 3489848422977 2344706746049 5834555169026            98   00000000000100
 2344706746049 5834555169026 8179261915075            99   00000000000100
 5834555169026 8179261915075 4013817084101           100   00000000000100
                           1             1             1   00000000000005
             1             1             2             2   00000000000005
             1             2             3             3   00000000000005
             2             3             5             4   00000000000005
             3             5             8             5   00000000000005
                           1             1             1   00000000000005
             1             1             2             2   00000000000005
             1             2             3             3   00000000000005
             2             3             5             4   00000000000005
             3             5             8             5   00000000000005
0000000000000              1             1             1   00000000000005
0000000000001              1             2             2   00000000000005
0000000000001              2             3             3   00000000000005
0000000000002              3             5             4   00000000000005
0000000000003              5             8             5   00000000000005
00000000000000             1             1             1   00000000000005
00000000000001             1             2             2   00000000000005
00000000000001             2             3             3   00000000000005
00000000000002             3             5             4   00000000000005
00000000000003             5             8             5   00000000000005
                           1             1             1   00000000000005
             1             1             2             2   00000000000005
             1             2             3             3   00000000000005
             2             3             5             4   00000000000005
             3             5             8             5   00000000000005
    0.00             1             1             1   00000000000005
    1.00             1             2             2   00000000000005
    1.00             2             3             3   00000000000005
    2.00             3             5             4   00000000000005
    3.00             5             8             5   00000000000005
    0             1             1             1   00000000000009
    1             1             2             2   00000000000009
    1             2             3             3   00000000000009
    2             3             5             4   00000000000009
    3             5             8             5   00000000000009
    5             8            13             6   00000000000009
    8            13            21             7   00000000000009
   13            21            34             8   00000000000009
   21            34            55             9   00000000000009
        0             1             1             1   00000000000001
        0             1             1             1   00000000000008
        1             1             2             2   00000000000008
        1             2             3             3   00000000000008
        2             3             5             4   00000000000008
        3             5             8             5   00000000000008
        5             8            13             6   00000000000008
        8            13            21             7   00000000000008
       13            21            34             8   00000000000008
